日期,縣市別,清理範圍(處),清理次數(次),參與人數(人次),海洋廢棄物來源(噸)_海漂,海洋廢棄物來源(噸)_海底,海洋廢棄物來源(噸)_淨灘,清理方式_雇工(人次),清理方式_機械(輛次),清理數量分類(噸)_計,清理數量分類(噸)_寶特瓶,清理數量分類(噸)_鐵罐,清理數量分類(噸)_鋁罐,清理數量分類(噸)_玻璃瓶,清理數量分類(噸)_廢紙,清理數量分類(噸)_竹木,清理數量分類(噸)_保麗龍,清理數量分類(噸)_廢漁具漁網,清理數量分類(噸)_其他,清理後處理方式(噸)_焚化,清理後處理方式(噸)_回收再利用,清理後處理方式(噸)_其他
201907,新竹縣,9,9,89,0.022,0,1.26,0,0,1.283,0.031,0.023,0.01,0.122,0,0,0.206,0.129,0.762,1.097,0.185,0
201907,基隆市,13,47,"1,763",38.798,1.44,2.46,330,62,44.099,0.883,0.19,0.096,0.133,0.322,0.1,0.672,1.043,40.661,38.745,4.952,0.401
201907,新竹市,2,14,20,0.04,0.035,0,20,0,0.075,0.005,0,0,0.02,0,0,0,0.03,0.02,0.055,0.02,0
201907,臺中市,9,39,"1,375",39.48,0,5.5,310,156,45.28,0.53,0.08,0.07,0.11,0.01,2.7,0,1.2,40.58,37.74,7.54,0
201907,苗栗縣,8,4,"1,307",0,0,13.916,0,0,13.916,0.402,0.021,0.045,0.383,0.026,0.555,0.146,0.288,12.05,12.05,0.877,0.989
201907,彰化縣,3,4,17,0.037,0,0.3,17,1,0.337,0.007,0.002,0,0,0,0.3,0.013,0.015,0,0.328,0.009,0
201907,南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201907,雲林縣,2,24,112,4.5,0,0.489,62,8,4.989,0.017,0.032,0.085,0.04,0.066,4.076,0.028,0.04,0.605,4.816,0.173,0
201907,臺南市,12,103,975,0.239,0.034,2.54,283,4,12.117,0.367,0.292,0.14,0.493,0.058,1.263,0,0.008,9.496,10.417,1.5,0.2
201907,高雄市,33,104,484,55.68,0,0.213,318,92,221.076,0.83,0.471,0.233,0.106,1.024,0,0.062,0.044,218.306,195.947,25.066,0.062
201907,嘉義縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201907,屏東縣,4,4,30,0,0.01,0,30,0,0.01,0,0,0,0.001,0,0,0,0.006,0.004,0.01,0,0
201907,澎湖縣,61,72,179,35.41,0,2.27,114,1,39.38,4.93,1.6,1.86,3.27,0.6,3.2,3.77,5.6,14.55,0,2.16,37.22
201907,嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201907,臺東縣,2,3,100,0,0,0.183,100,0,0.183,0,0,0,0,0,0,0,0,0.183,0,0.039,0.144
201907,花蓮縣,4,33,513,0,0.005,0.288,256,10,13.223,0,0,0,0,0,0,0,0.004,13.219,12.23,0.988,0.005
201907,金門縣,47,118,965,1.2,0,61.22,492,105,62.42,1.302,0.529,0.574,1.113,0.008,47.22,1.477,0.404,9.793,0,0.849,61.571
201907,連江縣,15,17,253,0,0,66.15,0,33,66.15,1.36,1.43,0.42,1.15,0.4,36.9,11.55,6.35,6.59,0,4.76,61.39
201908,新北市,33,221,"9,967",91.742,2.013,19.35,"1,822",46,137.096,8.408,1.547,0.947,1.676,0.207,1.435,2.679,10.169,110.028,113.726,12.571,10.798
201908,臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201908,桃園市,1,1,247,0,0,3.7,0,0,3.7,0.08,0.008,0.008,0.36,0.001,0,0,0.006,3.237,3.62,0.08,0
201908,宜蘭縣,12,21,205,0.02,0.053,3.3,18,28,4.373,0.352,0.204,0.154,0.111,0.4,1,0.2,0.334,1.618,2.105,1.271,1
201908,新竹縣,7,7,94,0.01,0.023,1.04,0,0,1.074,0.015,0.009,0.006,0.078,0,0,0.107,0.134,0.725,0.965,0.108,0
201908,基隆市,2,36,353,0.05,0,0.03,300,62,34.54,0.03,0.1,0.05,0.01,0.19,0.1,0.01,0.04,34.01,32.92,1.62,0
201908,新竹市,1,10,10,0.34,0,0,4,1,0.34,0.001,0.01,0.001,0,0,0.005,0,0.3,0.023,0,0.008,0.332
201908,臺中市,12,42,"1,424",0.41,0,5.3,310,156,49.8,0.52,0.06,0.07,0.11,0.01,2.8,0,1.2,45.03,41.91,7.89,0
201908,苗栗縣,4,3,855,0,0,12.83,0,0,12.83,0.01,0.01,0.01,0.03,0.02,0.62,0.01,0.32,11.8,11.8,0.08,0.95
201908,彰化縣,4,4,"1,343",0.082,0,2.41,5,3,2.491,1.044,0.024,0,0.382,0.128,0,0.043,0.133,0.737,0.043,2.315,0.133
201908,南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201908,雲林縣,2,25,119,0.82,0,0.163,69,2,0.983,0.03,0.023,0.015,0.05,0.045,0,0,0,0.82,0.968,0.015,0
201908,臺南市,12,128,385,0.333,0.015,0.75,354,27,19.175,0.108,0.155,0.117,0.498,0.06,0.042,0.3,0.227,17.668,17.793,1.382,0
201908,高雄市,29,80,423,0.22,0,0.263,318,92,260.561,0.727,0.453,0.225,0.12,1.014,0,0.062,0.04,257.92,233.678,26.425,0.457
201908,嘉義縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201908,屏東縣,5,10,798,0,0,3.45,0,0,3.45,0,0,0,0,0,0,0,0,3.45,0,0,3.45
201908,澎湖縣,63,160,"1,255",55.18,0,1.27,"1,192",1,57.37,5.2,1.4,2,4.15,0.15,2.1,4.67,3.6,34.1,6.475,4.395,46.5
201908,嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201908,臺東縣,2,18,533,0,0,0.191,533,0,0.191,0,0,0,0,0,0,0,0,0.191,0,0.1,0.091
201908,花蓮縣,7,284,590,0.805,0,0.34,206,6,5.645,0,0,0,0,0,0,0,0,5.645,3.77,1.07,0.805
201908,金門縣,55,130,934,0,0,56.327,479,102,56.327,1.156,0.606,0.455,0.949,0.155,41.14,1.312,0.679,9.875,0,0.775,55.552
201908,連江縣,12,14,203,4,0,33.01,10,19,37.01,0.94,0.118,0.08,0.242,0.05,17.79,7.45,5.19,5.15,0,1.32,35.69
201909,新北市,12,41,"2,061",131.733,0.559,2,"1,699",34,152.139,0.568,0.28,0.18,0.39,0.146,35.412,3.135,6.304,105.725,138.062,14.077,0
201909,臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201909,桃園市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201909,宜蘭縣,12,26,252,0.02,0.053,6.7,18,28,8.048,0.142,0.184,0.144,0.211,0.39,4,0.2,0.534,2.243,5.722,1.126,1.2
201909,新竹縣,3,3,47,0,0,0.885,0,0,0.885,0.011,0.008,0.004,0.079,0,0,0.066,0.068,0.649,0.783,0.102,0
201909,基隆市,3,38,936,0.08,0,0.808,300,62,68.528,0.075,0.165,0.093,0.042,0.303,0.13,0.037,0.172,67.511,59.653,8.875,0
201909,新竹市,1,5,5,0.166,0,0,4,1,0.166,0.001,0.005,0.001,0.01,0,0.005,0,0.1,0.044,0.1,0.066,0
201909,臺中市,14,44,"1,568",0.61,0,5.6,300,151,48.22,0.525,0.078,0.06,0.11,0.011,2.95,0.002,1.36,43.124,40.27,7.95,0
201909,苗栗縣,8,4,"1,324",0,0,26.494,0,0,26.494,0.173,0.097,0.154,0.529,0.022,2.077,0.073,0.669,22.7,22.7,0.975,2.819
201909,彰化縣,3,3,18,0.128,0,0,15,0,0.128,0.03,0.011,0,0.025,0.008,0,0.003,0.04,0.011,0.003,0.085,0.04
201909,南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201909,雲林縣,1,22,56,0.56,0,0,56,6,0.56,0,0,0,0,0,0,0,0,0.56,0.56,0,0
201909,臺南市,12,119,353,0.025,0.388,0.2,333,23,26.429,0.101,0.133,0.138,0.438,0.057,0.082,0,0.094,25.386,25.462,0.967,0
201909,高雄市,33,85,474,0.33,0.071,0.191,351,92,157.569,0.697,0.461,0.242,0.128,1.036,0,0.015,0.259,154.731,142.856,14.713,0
201909,嘉義縣,2,4,518,0,0,1.92,0,4,1.92,0.59,0.1,0.04,0.05,0,0.04,0.58,0.11,0.41,1.14,0.78,0
201909,屏東縣,1,1,44,0,0,0.174,0,0,0.174,0,0,0,0,0,0,0,0,0.174,0,0,0.174
201909,澎湖縣,62,162,"1,211",68.94,0,5.388,"1,102",1,75.218,8.657,3.84,2.43,6.725,0.25,3.47,9.67,5.3,34.876,5.981,3.807,65.43
201909,嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201909,臺東縣,2,6,27,0,0,0.027,0,0,0.027,0,0,0,0,0,0,0,0,0.027,0,0.007,0.02
201909,花蓮縣,7,284,478,0.819,0,0.043,52,5,5.752,0,0,0,0,0,0,0,0,5.752,3.985,0.948,0.819
201909,金門縣,53,122,921,0,0,49.76,453,94,49.76,0.953,0.416,0.326,1.356,0.227,34.1,1.583,0.787,10.012,0,0.614,49.146
201909,連江縣,16,11,345,0,0,53.62,0,27,53.62,2.56,1.26,0.11,1.09,0.16,20.09,6.58,10.11,11.66,0,5.18,48.44
201910,新北市,28,140,"9,474",158.312,0,8,"1,729",33,184.299,2.028,0.88,0.318,0.599,0.292,41.43,1.013,6.27,131.469,162.357,16.042,5.9
201910,臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201910,桃園市,3,3,732,0,0,3.106,0,0,3.105,0.092,0.059,0.05,0.213,0,0,0.072,0.3,2.319,3.014,0.092,0
201910,宜蘭縣,12,23,458,0.02,0.053,13,12,28,14.499,0.232,0.174,0.144,0.111,0.39,6.8,0.2,0.534,5.914,0.962,1.737,11.8
201910,新竹縣,9,9,365,0,0.004,3.11,0,0,3.114,0.05,0.035,0.02,0.235,0,0,0.105,0.443,2.226,2.774,0.341,0
201910,基隆市,4,40,757,0.08,0,1.085,310,62,92.334,0.228,0.123,0.072,0.022,0.25,0.1,0.215,0.64,90.684,79.116,12.618,0.6
201910,新竹市,3,7,12,0.669,0.02,0,12,1,0.689,0.01,0.001,0.018,0.001,0,0,0,0.577,0.082,0,0.03,0.659
201910,臺中市,15,46,"1,593",0.61,0,5.6,310,156,48.35,0.52,0.05,0.06,0.11,0.02,3,0,1.4,43.19,39.94,8.41,0
201910,苗栗縣,5,4,"1,632",0,0,29.695,0,0,29.695,0.286,0.051,0.028,0.14,0.021,0.444,0.037,0.518,28.17,28.17,0.526,0.999
201910,彰化縣,3,3,18,0.056,0,0,18,0,0.055,0.01,0.001,0,0.012,0.007,0,0.007,0.001,0.017,0.007,0.048,0.001
201910,南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201910,雲林縣,1,23,60,4.95,0,0,60,2,4.95,0,0,0,0,0,4.43,0,0,0.52,4.95,0,0
201910,臺南市,18,182,883,0.206,0,"1,190.21",463,505,"1,215.48",0.351,0.137,0.111,0.464,0.073,"1,189.01",15.974,0.177,9.182,"1,197.86",17.613,0
201910,高雄市,28,70,655,0.22,0,0.312,590,92,191.903,0.736,0.461,0.21,0.119,1,0,0.003,0.022,189.351,186.579,5.323,0
201910,嘉義縣,1,2,125,0,0,1.27,0,2,1.27,0.45,0.155,0.145,0.12,0,0,0.12,0.085,0.195,0.4,0.87,0
201910,屏東縣,2,2,124,0,0.003,0.093,6,0,0.096,0.005,0.005,0.004,0.008,0,0,0.003,0.042,0.029,0.096,0,0
201910,澎湖縣,48,48,"2,849",79.4,0,19.627,43,1,99.857,11.611,2.58,2.28,11.001,0.15,11.47,3.695,8.31,48.76,0,0.787,99.07
201910,嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201910,臺東縣,3,6,298,0,0.096,0.144,60,4,0.24,0.029,0.01,0.01,0.034,0.003,0,0.005,0.021,0.128,0,0.086,0.154
201910,花蓮縣,6,331,482,0.742,0,0,58,7,2.072,0,0,0,0,0,0,0,0,2.072,0.3,1.03,0.742
201910,金門縣,30,22,286,0,0,28.085,286,88,28.085,0.377,0.026,0.014,0.116,0.006,26.71,0.383,0.018,0.435,0,0.539,27.546
201910,連江縣,16,12,439,0,0,73,0,37,73,3.74,0.18,0.13,0.49,0.05,30.806,16.65,8.958,11.996,0,4.59,68.41
201911,新北市,10,48,"1,326",151.146,0,2,892,38,169.901,4.658,0.765,0.42,0.866,0.232,41.9,4.103,6.14,110.817,143.101,17.8,9
201911,臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201911,桃園市,2,2,501,0,0,6.089,0,0,6.089,0.283,0.504,0.176,0.266,0,0,0.134,0.532,4.194,5.806,0.283,0
201911,宜蘭縣,13,229,421,0.03,0.223,57.93,64,143,59.57,0.287,0.179,0.185,0.115,0.38,49.55,0.203,0.786,7.885,30.361,2.359,26.85
201911,新竹縣,11,11,103,1.8,0,1.5,0,0,3.3,0.057,0.054,0.029,0.195,0,0,0.625,0.265,2.075,2.965,0.335,0
201911,基隆市,2,35,362,0.1,0,0.05,310,62,75.23,0.05,0.1,0.07,0.02,0.24,0.08,0.01,0.02,74.64,69.088,6.142,0
201911,新竹市,7,7,7,0.713,0,0,12,3,0.713,0.001,0,0,0,0.001,0.011,0.001,0.623,0.076,0.076,0.014,0.623
201911,臺中市,15,45,"1,587",0.61,0,5.6,304,151,44.115,0.52,0.03,0.04,0.11,0.03,3,0,1.4,38.985,36.31,7.805,0
201911,苗栗縣,8,4,725,0,0,12.045,0,0,12.045,0.192,0.007,0.006,0.055,0.023,0.643,0.07,0.208,10.841,10.841,0.283,0.921
201911,彰化縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201911,南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201911,雲林縣,1,21,50,0.63,0,0,50,0,0.63,0,0,0,0,0,0,0,0,0.63,0.63,0,0
201911,臺南市,9,97,295,0.471,0,0.25,271,3,11.139,0.126,0.106,0.098,0.516,0.079,0.073,0.054,0.068,10.019,9.991,1.148,0
201911,高雄市,28,125,399,0.25,0,0.29,318,88,165.716,0.732,0.461,0.211,0.094,0.95,0,0.035,0.067,163.166,151.207,14.405,0.104
201911,嘉義縣,2,2,80,0,0,0.31,0,2,0.31,0.068,0.002,0.005,0,0,0,0.105,0.005,0.125,0.235,0.075,0
201911,屏東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201911,澎湖縣,41,142,"1,195",81.3,0,0.134,"1,175",1,102.529,7.057,1.27,1.67,8.397,0.15,4.6,2.48,26.11,50.795,6.715,4.647,91.167
201911,嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201911,臺東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201911,花蓮縣,6,60,397,0.691,0,0,36,6,12.491,0,0,0,0,0,0,0,0,12.491,11.419,1.072,0
201911,金門縣,62,123,"2,931",0,0,49.237,467,111,50.377,1.251,0.749,0.582,1.714,0.272,28.41,4.171,1.286,11.942,0,0.437,49.94
201911,連江縣,4,20,"1,022",0,0,48.74,0,24,48.74,1.85,0.27,0.18,0.22,0.1,22.32,11.56,4.11,8.13,0,2.62,46.12
201912,新北市,7,37,916,0,0,0,916,31,106.927,0.148,0.165,0.118,0.373,0.032,2.84,0.103,3.64,99.508,96.191,10.736,0
201912,臺北市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201912,桃園市,30,43,"1,430",0.294,0,33.939,154,25,34.233,1.869,0.08,0.088,0.107,0.045,0.324,0.137,0.147,31.436,0.324,2.189,31.72
201912,宜蘭縣,3,6,49,0.03,0,0,6,21,1.168,0.03,0.06,0.03,0,0.38,0,0,0,0.668,0.64,0.528,0
201912,新竹縣,9,9,57,0,0,0.82,0,0,0.82,0.025,0.018,0.009,0.047,0,0,0.021,0.031,0.669,0.721,0.099,0
201912,基隆市,2,37,360,0.12,0,0,310,64,77.63,0.05,0.1,0.07,0.02,0.24,0.08,0.01,0.02,77.04,73.2,4.43,0
201912,新竹市,4,4,4,1.044,0,0,2,2,1.044,0.001,0,0.003,0,0,0,0,1.03,0.01,0,0,1.044
201912,臺中市,15,46,"1,593",0.62,0,5.6,310,156,18.06,0.52,0.03,0.04,0.11,0.03,3,0,1.4,12.93,11.25,1.81,5
201912,苗栗縣,8,4,708,0,0,12.664,0,0,12.664,0.194,0.01,0.009,0.319,0.021,0.398,0.012,0.307,11.394,11.394,0.553,0.717
201912,彰化縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,南投縣,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201912,雲林縣,1,22,52,0.74,0,0,52,4,0.74,0.27,0,0,0,0,0,0,0,0.47,0.47,0.27,0
201912,臺南市,16,187,520,0.225,0,"1,681.71",497,627,"1,722.33",0.122,0.093,0.087,0.53,0.078,"1,681.46",15.85,0.121,23.993,"1,705.41",16.925,0
201912,高雄市,26,123,401,0.26,0,0.113,306,88,208.668,0.739,0.46,0.23,0.12,0.95,0,0.001,0.002,206.166,187.022,21.646,0
201912,嘉義縣,2,2,80,0,0,0.42,0,2,0.42,0.047,0.031,0.012,0,0,0.187,0.04,0.003,0.1,0.33,0.09,0
201912,屏東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,澎湖縣,36,400,"2,446",82.894,0,0.155,"1,101",1,83.849,2.125,0.07,0.07,0.045,0.15,4.965,0.092,8.155,68.177,48.282,35.247,0.32
201912,嘉義市,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201912,臺東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201912,花蓮縣,6,61,332,0.67,0,0,48,7,9.5,0,0,0,0,0,0,0,0,9.5,8.397,1.103,0
201912,金門縣,55,127,922,1.203,0,37.775,483,110,40.178,0.873,0.429,0.383,0.781,0.319,25.19,1.657,1.783,8.763,0,0.498,39.68
201912,連江縣,4,10,240,0,0,23.51,0,11,23.51,0.48,0.09,0.05,0.05,0.04,10.8,4.53,2.16,5.31,0,0.71,22.8
202001,新北市,8,37,774,1,0,1,774,32,113.966,0.485,0.17,0.12,0.375,0.015,1.12,0.173,6.62,104.888,100.801,11.665,1.5
202001,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,桃園市,11,17,"1,515",0.428,0,2.053,0,0,2.481,0.417,0.062,0.043,0.188,0.075,0.168,0.038,0.043,1.447,0.168,0.785,1.528
202001,宜蘭縣,9,17,97,0.04,0,1.223,52,21,2.325,0.079,0.061,0.031,0.001,0.38,0.702,0.04,0.353,0.678,1.126,1.165,0.034
202001,新竹縣,6,6,39,0,0,0.76,0,0,0.76,0.011,0.008,0.004,0.042,0,0.069,0.069,0.072,0.486,0.696,0.064,0
202001,基隆市,2,37,352,0.13,0,0,300,62,52.77,0.05,0.11,0.07,0.02,0.24,0.08,0.01,0.02,52.17,48.67,4.1,0
202001,新竹市,4,4,4,1.93,0,0,3,3,1.93,0.001,0,0.002,0.001,0,0,0,1.916,0.01,0.01,0.004,1.916
202001,臺中市,2,34,300,0.03,0,0,278,140,14.041,0.03,0.03,0.04,0.02,0.03,0,0,0,13.891,11.89,2.151,0
202001,苗栗縣,4,3,728,0,0,12.74,728,0,12.74,0.006,0.005,0.008,0.011,0.013,0.722,0.012,0.024,11.939,11.939,0.043,0.758
202001,彰化縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,南投縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,雲林縣,1,19,45,0.75,0,0,45,4,0.75,0,0,0,0,0,0,0,0,0.75,0.75,0,0
202001,臺南市,9,112,464,0.03,0,0.25,326,20,31.543,0.083,0.094,0.091,0.516,0.11,0,0,0.069,30.58,30.494,1.049,0
202001,高雄市,26,121,399,0.3,0,0.126,294,86,215.106,0.725,0.481,0.251,0.144,0.95,0,0.016,0.037,212.502,189.33,25.773,0.003
202001,嘉義縣,1,1,20,0,0,0.87,0,1,0.87,0.02,0.01,0,0.2,0.04,0.4,0.03,0.006,0.164,0.6,0.27,0
202001,屏東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,澎湖縣,35,310,"1,464",4.185,0,40.1,141,1,45.285,5.3,0.97,1.37,5.95,0.15,2.22,3.88,4.4,21.045,19.345,19.1,6.84
202001,嘉義市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,臺東縣,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202001,花蓮縣,2,31,288,0.02,0.01,0.09,26,7,4.82,0,0,0,0,0,0,0,0,4.82,3.9,0.92,0
202001,金門縣,55,109,880,0,0,21.246,414,43,22.416,1.207,0.871,0.289,1.004,0.25,5.508,3.055,0.969,9.263,0,1.103,21.313
202001,連江縣,4,11,157,0,0,20.43,0,11,20.43,0.74,0.24,0.16,0.11,0.09,8.65,3.91,1.55,4.98,0,1.34,19.09
202002,新北市,15,74,"1,598",0.027,0,0.497,755,29,93.747,0.305,0.173,0.195,0.52,0.381,1.126,0.091,6.497,84.459,86.824,6.923,0
202002,臺北市,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202002,桃園市,32,64,"1,177",0.345,0,11.476,0,0,11.821,0.593,0.117,0.086,0.381,0.138,0.414,0.244,0.967,8.881,0.414,1.315,10.092
202002,宜蘭縣,12,23,539,0.04,0,4.092,494,21,4.568,0.549,0.009,0.01,0.013,0,0.915,0.135,1.32,1.617,1.528,0.9,2.14
202002,新竹縣,15,15,68,0.013,0,1.07,0,0,1.083,0.034,0.022,0.01,0.111,0,0,0.07,0.08,0.756,0.906,0.177,0
202002,基隆市,2,35,332,0.04,0,0,290,62,62.1,0.056,0.028,0.079,0.012,0,0,0,0,61.925,60.392,1.708,0
